Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
EVEN3	12,84	-756,32	1,67	1,549	0,00%	0,585	1,04	28,40	3,07	31,90	5,45%	1,05%	3,42	2,54%	-0,22%	24.726.600,00	1.668.040.000,00	0,83	-6,20%
SQIA3	17,71	-338,41	2,90	7,493	0,05%	2,021	3,57	107,81	5,94	40,15	6,95%	-2,21%	8,38	4,72%	-0,86%	10.926.700,00	430.818.000,00	0,14	24,08%
MAPT4	47,00	-268,28	-7,78	0,000	0,00%	55,877	0,00	-329,72	0,00	-329,72	0,00%	0,00%	0,00	0,00%	2,90%	678,55	-5.552.000,00	0,00	0,00%
CCPR3	20,74	-174,24	3,18	7,295	0,00%	0,916	28,01	13,92	-2,33	16,62	52,42%	9,43%	1,40	7,26%	-1,83%	5.535.830,00	1.040.750.000,00	1,64	6,08%
MILS3	7,18	-106,80	1,63	6,428	0,00%	1,310	18,65	-23,57	-11.666,50	24,40	-27,27%	-6,02%	1,56	-6,17%	-1,52%	5.615.270,00	1.111.300.000,00	0,14	-18,38%
PFRM3	4,04	-96,88	0,51	0,107	0,00%	0,159	1,09	3,34	-3,47	4,20	3,20%	-0,11%	1,29	7,61%	-0,52%	984.156,00	984.289.000,00	0,72	6,70%
LPSB3	8,08	-63,83	28,56	8,487	0,00%	4,675	-219,16	-344,18	-7,52	68,97	-2,47%	-15,99%	0,91	-1,51%	-44,75%	3.977.060,00	41.738.000,00	0,29	-14,54%
TELB3	111,00	-49,79	161,74	121,094	0,00%	1,579	42,34	-127,27	-1,77	230,99	-95,15%	-243,21%	1,62	-1,30%	-324,83%	322.389,00	34.044.000,00	8,08	3,21%
RDNI3	12,94	-49,67	0,93	2,193	0,00%	0,429	1,70	-39,46	-3,52	-89,79	-5,56%	-5,23%	2,59	-1,23%	-1,86%	311.031,00	611.714.000,00	0,64	-21,15%
ECOR3	14,41	-39,12	21,43	2,162	0,00%	0,636	-6,26	6,99	-0,90	8,95	30,92%	-5,51%	0,72	11,98%	-54,78%	40.136.600,00	375.633.000,00	25,79	6,09%
MSPA3	51,50	-38,14	0,37	2,529	0,78%	0,227	3,73	-16,06	-0,80	-50,39	-15,75%	-6,63%	2,85	-1,49%	-0,96%	241,69	899.497.000,00	0,05	-21,17%
MSPA4	51,50	-38,14	0,37	2,529	0,85%	0,227	3,73	-16,06	-0,80	-50,39	-15,75%	-6,63%	2,85	-1,49%	-0,96%	475,81	899.497.000,00	0,05	-21,17%
BAHI3	110,00	-36,24	4,58	5,144	0,00%	1,319	5,77	-26,34	-4,48	-22,67	-19,53%	-15,83%	2,34	-8,01%	-12,64%	56.428,40	53.301.000,00	0,18	34,48%
DTCY3	4,60	-20,56	-40,62	2,798	0,00%	1,179	-3,91	28,12	-1,39	13,62	9,95%	-13,61%	0,37	4,87%	197,62%	543,21	-882.000,00	-5,62	2,58%
TESA3	14,12	-19,86	0,32	0,286	0,00%	0,122	-14,27	9,26	-0,36	14,69	3,09%	-1,44%	0,97	1,42%	-1,60%	289.158,00	962.097.000,00	0,96	5,84%
HBOR3	3,54	-19,29	3,19	1,919	0,00%	0,548	1,38	-65,79	-12,02	-132,83	-2,92%	-3,52%	2,28	-0,92%	-16,53%	16.546.500,00	743.035.000,00	2,37	-13,47%
RCSL4	1,19	-18,92	-1,37	4,835	0,00%	2,170	-6,18	618,01	-0,98	196,95	0,78%	-25,58%	0,53	0,37%	7,22%	318.226,00	-66.069.000,00	-0,00	359,60%
MNDL3	35,50	-17,60	-0,62	0,183	0,00%	0,086	-0,13	2,91	-0,10	6,19	6,28%	-1,04%	0,27	3,12%	3,52%	17.785,30	-142.268.000,00	-1,30	3,95%
TELB4	36,72	-16,47	53,50	40,059	0,00%	0,522	14,01	-42,10	-0,59	81,86	-95,15%	-243,21%	1,62	-1,30%	-324,83%	1.270.260,00	34.044.000,00	8,08	3,21%
BEEF3	12,34	-14,60	-6,08	0,277	0,00%	0,388	1,89	3,63	-0,84	6,97	7,62%	-1,89%	1,52	17,41%	41,65%	39.015.700,00	-767.223.000,00	-12,72	18,98%
BTTL3	5,19	-14,19	15,96	0,175	0,00%	0,651	15,34	8,28	-1,23	8,21	2,11%	-1,23%	1,11	10,35%	-112,46%	6.685,81	4.832.000,00	4,53	-5,93%
VVAR3	7,45	-11,28	6,57	0,380	0,00%	0,444	-2,44	8,44	-1,01	7,59	4,50%	-3,36%	0,73	7,72%	-58,21%	186.165.000,00	1.474.000.000,00	3,80	8,70%
MGEL4	7,49	-8,61	-0,11	0,081	0,00%	0,115	0,31	1,01	-0,08	10,52	8,06%	-2,04%	2,68	14,40%	1,32%	12.453,20	-381.306.000,00	-1,76	4,49%
BIOM3	9,80	-8,49	7,21	98,288	0,00%	1,658	13,99	-11,67	-3,34	-15,15	-842,01%	-1.157,92%	1,77	-19,41%	-84,95%	263.173,00	65.021.000,00	2,39	918,31%
